world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
1,California Institute of Technology,United States,94.4,65.8,98.2,99.8,94.9,2243,6.9,27%,2014
2,Harvard University,United States,95.3,66.2,98.5,99.1,93.9,20152,8.9,25%,2014
2,University of Oxford,United Kingdom,89,90.2,98.5,95.4,93.9,19919,11.6,34%,2014
4,Stanford University,United States,94.7,68,96.8,99.1,93.8,15596,7.8,22%,2014
5,Massachusetts Institute of Technology,United States,92.9,82,89,100,93,11074,9,33%,2014
6,Princeton University,United States,89.9,59.6,97.6,99.7,92.7,7929,8.4,27%,2014
7,University of Cambridge,United Kingdom,90.6,86.7,95.3,95.7,92.3,18812,11.8,34%,2014
8,"University of California, Berkeley",United States,83.2,57.3,97.5,99.3,89.8,36186,16.4,15%,2014
9,University of Chicago,United States,85.6,58.6,88.2,98,87.8,14221,6.9,21%,2014
10,Imperial College London,United Kingdom,84.5,91.8,88.1,90,87.5,15060,11.7,51%,2014
11,Yale University,United States,89.5,57.6,90.5,93.5,87.4,11751,4.4,20%,2014
12,"University of California, Los Angeles",United States,84.8,46.4,91,95.6,86.3,38206,10.3,15%,2014
13,Columbia University,United States,86.6,68,79.1,95.6,85.2,25055,5.9,28%,2014
14,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.6,96.7,88.2,85,84.5,18178,14.7,37%,2014
15,Johns Hopkins University,United States,75.7,59.3,85.1,95,83.7,15128,3.6,23%,2014
16,University of Pennsylvania,United States,79.8,40.6,81.2,95,81,20376,6.5,20%,2014
17,Duke University,United States,73.9,50,73,96.7,79.3,15172,4.8,17%,2014
18,University of Michigan,United States,70,49.5,86.2,90.8,79.2,41786,9,16%,2014
19,Cornell University,United States,72.1,55.6,83.8,90.8,79.1,21424,10.2,19%,2014
20,University of Toronto,Canada,73.6,70,81.5,84.5,78.3,66198,19.5,15%,2014
21,University College London,United Kingdom,70.5,90.2,77.5,84.1,77.6,26607,10.7,46%,2014
22,Northwestern University,United States,70.2,34.4,76,97.1,77.1,18334,13.8,15%,2014
23,University of Tokyo,Japan,84.7,29.6,88,69.8,76.4,26199,5.7,10%,2014
24,Carnegie Mellon University,United States,63.1,58.1,77.4,93.9,76,11885,13.1,35%,2014
25,University of Washington,United States,65.6,43.2,69.2,95.6,73.4,44020,11.8,13%,2014
26,National University of Singapore,Singapore,68,94.3,77.8,66.4,72.4,31592,15.5,34%,2014
27,University of Texas at Austin,United States,64.7,42.4,69,91.3,72.2,49427,17.4,9%,2014
28,Georgia Institute of Technology,United States,59.4,67.8,68.6,87.9,71.6,19967,20.1,26%,2014
29,University of Illinois at Urbana-Champaign,United States,66,41.1,78.9,79.4,71.4,42727,18.7,20%,2014
30,University of Wisconsin-Madison,United States,69.8,32.3,67.7,87.2,71.1,39655,10.8,11%,2014
31,University of British Columbia,Canada,59.9,84.2,67.9,83.7,70.8,50152,17.6,25%,2014
32,London School of Economics and Political Science,United Kingdom,65.2,81.7,74.2,69.2,69.8,8200,7,19%,2014
33,"University of California, Santa Barbara",United States,47.8,61.8,58.2,99.4,68.4,22020,27.3,11%,2014
34,University of Melbourne,Australia,57.1,81.3,64.2,80.2,68.2,40128,23.7,35%,2014
35,McGill University,Canada,61.5,77.8,68.1,74.5,68.1,31326,13.7,23%,2014
36,Karolinska Institute,Sweden,58.1,73.2,67.7,76,67.8,7774,11.5,22%,2014
37,École Polytechnique Fédérale de Lausanne,Switzerland,52.9,98.2,48.3,95.9,67.7,9666,10.5,54%,2014
38,King’s College London,United Kingdom,56.2,86,56.8,87.6,67.6,21394,11.4,37%,2014
39,University of Edinburgh,United Kingdom,56.6,81.5,56.9,87.6,67.5,25774,14.1,36%,2014
40,New York University,United States,65.4,41.8,58.4,87.9,67.4,42056,6.8,19%,2014
41,"University of California, San Diego",United States,52,35.6,63,96.7,67.4,27233,6.5,11%,2014
42,Washington University in St Louis,United States,59.5,44.6,52.9,96.4,67.2,12528,5.7,17%,2014
43,University of Hong Kong,Hong Kong,61.6,80.3,69.9,61.5,65.3,19835,17.6,38%,2014
44,Seoul National University,South Korea,76.4,29.4,79.2,47.3,65.2,26389,13.9,10%,2014
45,Peking University,China,72.3,60.6,58.1,62.8,65,40148,8.3,14%,2014
46,University of Minnesota,United States,61.4,31.7,62.7,81.2,64.9,46825,18,13%,2014
47,University of North Carolina at Chapel Hill,United States,57.6,35,55.3,90.2,64.5,26518,7.3,8%,2014
